DEST,n_flights,delta_mean,pct_makeup
DFW,33673,-8.03207317435334,74.34739999406052
MIA,27615,-6.132645301466594,71.53358681875793
CLT,27402,-6.750967082694694,74.19531421064156
ORD,26263,-8.894794958687127,77.00948101892396
LAX,22627,-7.713483890926769,71.41910107393822
PHX,19259,-7.316683109195701,72.31943506931825
DCA,17696,-6.01491862567812,72.4005424954792
PHL,16892,-6.4982832109874495,73.6206488278475
LGA,16675,-5.2266266866566715,73.49925037481259
JFK,12716,-6.554576910978295,69.61308587606166
